H_Moment_1,H_Moment_2,H_Moment_3,H_Moment_4,H_Moment_5,H_Moment_6,H_Moment_7,S_Moment_1,S_Moment_2,S_Moment_3,S_Moment_4,S_Moment_5,S_Moment_6,S_Moment_7,V_Moment_1,V_Moment_2,V_Moment_3,V_Moment_4,V_Moment_5,V_Moment_6,V_Moment_7,G_Moment_1,G_Moment_2,G_Moment_3,G_Moment_4,G_Moment_5,G_Moment_6,G_Moment_7
0.00319621,0.000000228513,0.00000000216051,2.60233E-10,1.70654E-19,-8.16036E-14,-9.46163E-20,0.00268355,0.0000000182603,0.00000000254472,1.97572E-10,-1.18138E-19,-3.79568E-15,-7.52902E-20,0.00104752,0.0000000101694,8.86953E-11,9.35112E-12,1.52943E-22,7.75426E-16,2.21662E-22,0.000887875,0.0000000205876,3.00423E-12,2.5545E-12,-5.88712E-25,-1.1638E-16,7.05208E-24
0.00724409,0.000000745711,0.0000000117711,0.0000000269063,-3.36483E-16,2.06312E-11,-3.40685E-16,0.00745463,0.00000497684,0.0000000072683,0.0000000566141,-1.14842E-15,1.26267E-10,-3.75416E-18,0.000686763,0.00000000185458,2.19864E-12,7.80016E-14,-3.20895E-26,-3.31325E-18,3.70032E-27,0.000684997,6.27739E-13,1.04612E-15,1.47066E-15,1.669E-30,-6.56609E-22,7.36143E-31
0.0063107,0.000000372125,4.82658E-10,0.0000000208719,-5.87876E-17,1.27269E-11,3.0539E-17,0.00712213,0.000000504965,0.00000000724729,0.0000000285151,-1.70922E-17,1.96778E-11,-4.09565E-16,0.000699644,6.30657E-10,4.41591E-13,3.35675E-13,-9.40279E-26,-8.22912E-18,-8.8663E-26,0.000682127,7.45704E-13,4.99261E-15,7.89907E-15,4.95906E-29,5.58529E-21,1.20568E-30
0.00398702,0.000000671617,0.00000000130682,0.00000000188263,-2.85861E-18,1.48586E-12,7.40384E-19,0.00473022,0.0000000814111,0.00000000246349,0.00000000256731,-3.43601E-19,4.80811E-14,6.44728E-18,0.000780078,0.00000000452187,5.42862E-12,1.53742E-12,-3.40869E-24,-9.54611E-17,2.84745E-24,0.000695069,1.44169E-11,3.00379E-14,7.14612E-15,5.75992E-29,2.49409E-20,8.74304E-29
0.00712494,0.0000000217807,5.54819E-10,7.36974E-10,-4.38283E-20,-6.85293E-15,-4.69211E-19,0.00248876,0.000000203605,9.31261E-11,6.09055E-11,-1.44732E-21,-2.69737E-14,-4.35259E-21,0.000808893,3.03259E-10,1.745E-13,1.19128E-12,1.472E-25,1.93136E-17,-5.22819E-25,0.000796451,8.96488E-11,1.06731E-12,1.06399E-12,1.12288E-24,5.57053E-18,1.57264E-25
0.00344128,0.000000105855,0.00000000145893,0.00000000462987,-9.66448E-18,-1.95699E-13,7.16861E-18,0.00362732,0.0000000426721,0.00000000108867,3.63471E-10,1.81826E-19,7.76583E-15,-1.38621E-19,0.000783089,2.10282E-10,1.71674E-12,1.37698E-12,1.57828E-24,-3.83756E-19,1.41111E-24,0.000827608,1.9746E-10,3.15787E-12,7.78148E-13,3.66554E-25,-3.52362E-18,1.16343E-24
0.00224294,0.000000128627,1.5126E-10,7.14064E-12,-2.03708E-22,-1.12706E-15,-1.16513E-22,0.00232043,0.0000000989509,6.75236E-11,1.16161E-11,5.76146E-23,-2.93822E-15,-3.20184E-22,0.000845029,0.00000000498841,3.72192E-12,1.36675E-13,-6.54052E-26,-3.461E-19,-7.22815E-26,0.000824428,0.00000000777067,1.20355E-12,7.99283E-13,6.99689E-25,-1.33987E-17,-3.53546E-25
0.00265927,0.000000029117,4.08786E-10,1.21194E-10,-2.26474E-20,2.02208E-14,1.4655E-20,0.0260201,0.00000138432,0.0000000927234,0.0000000252685,4.81527E-16,1.80859E-11,1.12433E-15,0.000705171,1.28567E-10,4.30447E-14,2.63104E-15,-2.79213E-29,-2.35715E-20,-2.09238E-30,0.000699311,2.47302E-13,2.88735E-14,1.99746E-14,-2.80208E-28,9.56526E-21,-3.89349E-28
0.00348671,0.0000000575478,9.10832E-11,2.73702E-10,-1.64359E-20,-5.01223E-14,3.99676E-20,0.0247276,0.000000184555,0.00000000427665,0.0000000106417,1.76587E-17,-3.52412E-12,-6.95853E-17,0.000703823,1.65693E-11,2.19053E-15,4.18415E-14,1.92609E-29,-1.67362E-20,-4.00113E-28,0.000702431,1.2676E-11,2.43012E-14,2.3581E-14,-4.50472E-28,-5.22517E-20,3.40185E-28
0.0031617,0.000000103229,2.12762E-10,3.94406E-10,2.66917E-20,1.06735E-13,1.1109E-19,0.0289838,0.000000409466,0.00000000724501,0.000000137323,1.52361E-15,-7.41506E-11,4.05466E-15,0.000711288,4.92917E-11,7.62708E-15,8.69887E-15,-6.48321E-29,6.05613E-20,-2.85885E-29,0.00069743,1.39515E-12,1.40916E-14,1.18193E-14,9.6818E-29,3.26617E-21,1.17869E-28
